,RowNumber,CustomerId,CreditScore,Gender,Balance,NumOfProducts,HasCrCard,IsActiveMember,Age,Geography,EstimatedSalary,Surname,Exited,Tenure
35,36,15794171,475,Female,134264.04,1,1,0,45,Texas,27822.99,Lombardo,1,0
36,37,15788448,490,Male,145260.23,1,0,1,31,California,114066.77,Watson,0,3
37,38,15729599,804,Male,76548.6,1,0,1,,California,98453.45,Lorenzo,0,7
38,39,15717426,850,Male,0.0,1,1,1,36,Texas,40812.9,Armstrong,0,7
39,40,15585768,582,Male,70349.48,2,0,1,41,Alabama,178074.04,Cameron,0,6
40,41,15619360,472,Male,0.0,1,1,0,40,California,70154.22,Hsiao,0,4
41,42,15738148,465,Female,122522.32,1,0,0,51,Texas,181297.65,Clarke,1,8
42,43,15687946,556,Female,117419.35,1,1,1,61,Texas,94153.83,Osborne,0,2
43,44,15755196,834,Female,131394.56,1,0,0,49,Texas,,,1,2
44,45,15684171,660,Female,155931.11,1,1,1,61,California,158338.39,Bianchi,0,5
45,46,15754849,776,Female,109421.13,2,1,1,32,Alabama,126517.46,Tyler,0,4
46,47,15602280,829,Female,112045.67,1,1,1,27,Alabama,119708.21,Martin,1,9
47,48,15771573,637,Female,137843.8,1,1,1,39,Alabama,117622.8,Okagbue,1,9
48,49,15766205,550,Male,103391.38,1,0,1,38,Alabama,90878.13,Yin,0,2
49,50,15771873,776,Female,103769.22,2,1,0,37,Alabama,194099.12,Buccho,0,2
50,51,15616550,698,Male,116363.37,2,1,0,,Alabama,198059.16,Chidiebele,0,10
51,52,15768193,585,Male,146050.97,2,0,0,36,Alabama,86424.57,Trevisani,0,5
52,53,15683553,788,Female,0.0,2,0,0,33,Texas,,O'Brien,0,5
53,54,15702298,655,Male,125561.97,1,0,0,41,Alabama,164040.94,Parkhill,1,8
54,55,15569590,601,Male,98495.72,1,1,0,42,Alabama,40014.76,Yoo,1,1
55,56,15760861,619,Male,125211.92,1,1,1,43,Texas,113410.49,Phillipps,0,1
56,57,15630053,656,Male,127864.4,1,1,0,45,Texas,87107.57,Tsao,0,5
57,58,15647091,725,Male,75888.2,1,0,0,19,Alabama,45613.75,Endrizzi,0,0
58,59,15623944,511,Female,0.0,1,1,0,66,California,1643.11,T'ien,0,4
59,60,15804771,614,Male,40685.92,1,1,1,51,Texas,,,0,4
60,61,15651280,742,Male,136857.0,1,0,0,,Alabama,84509.57,Hunter,0,5
61,62,15773469,687,Female,152328.88,2,0,0,27,Alabama,126494.82,Clark,0,9
62,63,15702014,555,Male,56084.69,2,0,0,33,California,178798.13,Jeffrey,0,1
63,64,15751208,684,Male,78707.16,1,1,1,,California,99398.36,Pirozzi,0,8
64,65,15592461,603,Male,109166.37,1,1,1,26,Alabama,92840.67,Jackson,0,4
65,66,15789484,751,Female,169831.46,2,1,1,36,Alabama,27758.36,Hammond,0,6
66,67,15696061,581,Female,101633.04,1,1,0,34,Alabama,110431.51,Brownless,0,1
67,68,15641582,735,Male,123180.01,2,1,1,43,Alabama,196673.28,Chibugo,0,10
68,69,15638424,661,Female,150725.53,2,0,1,35,Alabama,113656.85,Glauert,0,5
69,70,15755648,675,Female,98373.26,1,1,0,21,Texas,18203.0,Pisano,0,8
70,71,15703793,738,Male,133745.44,4,1,0,,Alabama,28373.86,Konovalova,1,2
71,72,15620344,813,Male,0.0,1,1,0,29,Texas,33953.87,McKee,0,6
72,73,15812518,657,Female,163607.18,1,0,1,37,California,,,0,0
73,74,15779052,604,Female,157780.84,2,1,1,25,Alabama,58426.81,Ballard,0,5
74,75,15770811,519,Male,0.0,2,0,1,36,Texas,145562.4,Wallace,0,9
75,76,15780961,735,Female,178718.19,2,1,0,21,Texas,22388.0,Cavenagh,0,1
76,77,15614049,664,Male,0.0,2,1,1,55,Texas,139161.64,Hu,0,8
77,78,15662085,678,Female,0.0,1,1,1,32,Texas,148210.64,Read,0,9
78,79,15575185,757,Male,77253.22,1,0,1,33,California,194239.63,Bushell,0,5
79,80,15803136,416,Female,122189.66,2,1,0,41,Alabama,98301.61,Postle,0,100
80,81,15706021,665,Female,96645.54,2,0,0,34,Texas,171413.66,Buley,0,1
81,82,15663706,777,Female,0.0,1,1,0,32,Texas,136458.19,Leonard,1,2
82,83,15641732,543,Female,0.0,2,0,0,36,Texas,26019.59,Mills,0,3
83,84,15701164,506,Female,90307.62,1,1,1,34,Texas,159235.29,Onyeorulu,0,4
84,85,15738751,493,Female,0.0,2,1,0,46,Texas,1907.66,Beit,0,4
85,86,15805254,652,Female,0.0,2,1,1,75,California,114675.75,Ndukaku,0,100
86,87,15762418,750,Male,121681.82,1,1,0,22,California,128643.35,Gant,0,3
87,88,15625759,729,Male,0.0,2,1,0,30,Texas,151869.35,Rowley,0,9
88,89,15622897,646,Female,0.0,3,1,0,46,Texas,93251.42,Sharpe,1,4
89,90,15767954,635,Female,81623.67,2,1,1,28,Alabama,156791.36,Osborne,0,3
90,91,15757535,647,Female,0.0,3,1,1,44,California,174205.22,Heap,0,5
91,92,15731511,808,Male,118626.55,2,1,0,45,Texas,,Ritchie,0,7
92,93,15809248,524,Female,0.0,2,1,0,36,Texas,109614.57,Cole,0,100
93,94,15640635,769,Male,0.0,2,1,1,29,Texas,172290.61,Capon,0,8
94,95,15676966,730,Male,0.0,2,0,1,42,California,85982.47,Capon,0,4
95,96,15699461,515,Male,176273.95,1,0,1,35,California,121277.78,Fiorentini,0,10
96,97,15738721,773,Male,102827.44,1,0,1,41,California,64595.25,Graham,0,9
97,98,15693683,814,Male,97086.4,2,1,1,29,Alabama,197276.13,Yuille,0,8
98,99,15604348,710,Male,0.0,2,0,0,22,California,99645.04,Allard,0,8
99,100,15633059,413,Male,0.0,2,0,0,34,Texas,6534.18,Fanucci,0,9
100,101,15808582,665,Female,0.0,1,1,1,40,Texas,161848.03,Fu,0,6
101,102,15743192,623,Female,0.0,2,0,0,,Texas,167162.43,Hung,0,6
102,103,15580146,738,Male,82674.15,1,1,0,31,Texas,41970.72,Hung,0,9
103,104,15776605,528,Male,0.0,2,1,0,36,California,60536.56,Bradley,0,7
104,105,15804919,670,Female,0.0,1,1,1,65,California,177655.68,Dunbabin,0,1
105,106,15613854,622,Female,107073.27,2,1,1,46,California,30984.59,Mauldon,0,4
106,107,15599195,582,Male,88938.62,1,1,1,32,Alabama,10054.53,Stiger,0,1
107,108,15812878,785,Female,99806.85,1,0,1,36,Alabama,36976.52,Parsons,0,2
108,109,15602312,605,Male,150092.8,1,0,0,33,California,71862.79,Walkom,0,5
109,110,15744689,479,Male,92833.89,1,1,0,35,Alabama,99449.86,T'ang,1,9
110,111,15803526,685,Male,90536.81,1,0,1,30,Alabama,63082.88,Eremenko,0,3
111,112,15665790,538,Male,108055.1,2,1,0,39,Alabama,27231.26,Rowntree,0,7
112,113,15715951,562,Male,100238.35,1,0,0,42,Texas,,Thorpe,0,2
113,114,15591100,675,Male,106190.55,1,0,1,,California,22994.32,Chiemela,0,9
114,115,15609618,721,Male,154475.54,2,0,1,28,Alabama,101300.94,Fanucci,1,9
115,116,15675522,628,Female,132351.29,2,1,1,30,Alabama,74169.13,Ko,0,9
116,117,15705512,668,Female,167864.4,1,1,0,37,Alabama,115638.29,Welch,0,6
117,118,15698028,506,Female,0.0,2,1,0,41,Texas,,,0,1
118,119,15661670,524,Female,107818.63,1,1,0,31,Alabama,199725.39,Chidozie,1,8
119,120,15600781,699,Male,185173.81,2,1,0,34,Alabama,120834.48,Wu,0,4
120,121,15682472,828,Male,129433.34,2,0,0,34,Texas,38131.77,Culbreth,0,8
121,122,15580203,674,Male,120193.42,1,0,0,39,California,100130.95,Kennedy,0,6
122,123,15690673,656,Female,0.0,2,1,0,39,Texas,141069.88,Cameron,0,6
123,124,15760085,684,Female,126384.42,1,1,1,48,Alabama,198129.36,Calabresi,0,100
124,125,15779659,625,Female,0.0,1,0,0,28,Texas,183646.41,Zetticci,0,3
125,126,15627360,432,Male,152603.45,1,1,0,42,Texas,110265.24,Fuller,1,9
126,127,15671137,549,Female,0.0,1,0,1,52,Texas,8636.05,MacDonald,1,1
127,128,15782688,625,Male,148507.24,1,1,0,56,Alabama,46824.08,Piccio,1,0
128,129,15575492,828,Female,0.0,2,1,0,41,Texas,,Kennedy,0,7
129,130,15591607,770,Male,101827.07,1,1,0,24,Texas,167256.35,Fernie,0,9
130,131,15740404,758,Female,0.0,2,1,1,34,Texas,124226.16,He,0,3
131,132,15718369,795,Female,130862.43,1,1,1,33,Alabama,114935.21,Kaodilinakachukwu,0,9
132,133,15677871,687,Male,122570.87,1,1,1,38,Texas,35608.88,Cocci,0,9
133,134,15642004,686,Male,0.0,2,0,1,25,Texas,16459.37,Alekseeva,0,1
134,135,15712543,789,Male,124828.46,2,1,1,39,Alabama,124411.08,Chinweike,0,7
135,136,15584518,589,Female,144895.05,2,1,1,50,Alabama,34941.23,Arthur,0,5
136,137,15802381,461,Female,63663.93,1,0,1,34,Alabama,167784.28,Li,0,5
137,138,15610156,637,Male,133463.1,1,0,1,40,Texas,93165.34,Ma,0,2
138,139,15594408,584,Female,213146.2,1,1,0,48,California,75161.25,Chia,0,2
139,140,15640905,579,Female,129490.36,2,0,1,35,California,8590.83,Vasin,0,1
140,141,15698932,756,Male,137452.09,1,1,0,44,Alabama,189543.9,Groves,0,10
141,142,15724944,663,Male,0.0,2,1,1,34,Texas,180427.24,Tien,0,7
142,143,15628145,682,Female,125851.93,1,1,1,43,Texas,193318.33,Forwood,0,5
143,144,15713483,793,Male,0.0,1,1,0,52,California,159123.82,Greeves,0,2
144,145,15612350,691,Female,40915.55,1,1,0,31,Texas,126213.84,Taylor,1,5
145,146,15800703,485,Female,113157.22,1,1,1,,California,54141.5,Madukwe,0,5
146,147,15705707,635,Female,138296.94,2,1,0,29,California,141075.51,Bennelong,0,8
147,148,15754105,650,Male,106967.18,1,0,0,37,Texas,,,0,5
148,149,15703264,735,Male,120681.63,1,1,0,44,Texas,74836.34,Chukwufumnanya,0,9
149,150,15794413,416,Male,0.0,2,0,1,32,Texas,,,0,0
150,151,15650237,754,Female,0.0,2,1,0,32,California,89520.75,Morgan,0,7
151,152,15759618,535,Female,0.0,1,1,0,48,Texas,149892.79,Alexeeva,1,9
152,153,15811589,716,Male,0.0,2,1,0,42,California,180800.42,Metcalfe,0,8
153,154,15689044,539,Male,127609.59,1,1,0,37,Texas,98646.22,Humphries,0,2
154,155,15709368,614,Female,0.0,2,1,1,43,Texas,109041.53,Milne,0,6
155,156,15679145,706,Male,0.0,1,1,0,57,California,17941.16,Chou,0,7
156,157,15655007,758,Female,0.0,2,0,0,33,Texas,82996.47,Li,0,7
157,158,15623595,586,Female,0.0,2,1,1,28,California,92067.35,Clayton,0,2
158,159,15589975,646,Female,97259.25,1,0,1,73,Texas,104719.66,Maclean,0,6
159,160,15804017,631,Female,123246.7,1,0,0,33,Alabama,112687.57,Chigolum,0,4
160,161,15692132,717,Female,101060.25,1,0,1,22,California,84699.56,Wilkinson,0,6
161,162,15641122,684,Male,0.0,2,1,0,30,Texas,83473.82,Wei,0,2
162,163,15630910,800,Female,108007.36,1,0,0,49,Texas,47125.11,Treacy,0,7
163,164,15680772,721,Female,0.0,2,1,1,36,California,106977.8,Hu,0,2
164,165,15658929,683,Male,133702.89,1,1,0,29,California,55582.54,Taverner,0,0
165,166,15585388,660,Male,125189.75,2,1,1,31,Alabama,139874.43,Sherman,0,9
166,167,15724623,704,Female,113034.22,1,1,0,24,Alabama,162503.48,Taubman,1,7
167,168,15588537,615,Female,109013.23,1,1,0,41,California,196499.96,Robinson,0,9
168,169,15574692,667,Female,0.0,2,1,0,39,California,40721.24,Pinto,0,2
169,170,15611325,682,Male,57929.81,2,0,0,24,Alabama,53134.3,Wood,0,9
170,171,15587562,484,Female,130114.39,1,1,0,29,Texas,164017.89,Hawkins,0,4
171,172,15613172,628,Male,95826.49,2,1,0,27,Alabama,155996.96,Sun,0,5
172,173,15651022,480,Male,129608.57,1,1,0,44,Alabama,5472.7,Yost,1,10
173,174,15586310,578,Male,169462.09,1,1,0,30,Texas,,Ting,0,4
174,175,15625524,512,Male,0.0,2,1,1,40,Texas,,,0,5
175,176,15755209,484,Female,133868.21,1,1,1,35,California,27286.1,Fu,0,7
176,177,15645248,510,Female,0.0,2,1,1,30,Texas,130553.47,Ho,0,0
177,178,15790355,606,Male,190479.48,2,0,0,36,Alabama,179351.89,Okechukwu,0,5
178,179,15762615,597,Female,101993.12,1,0,1,40,California,94774.12,Campbell,0,8
179,180,15625426,754,Female,161608.81,1,1,0,55,Alabama,8080.85,Ashbolt,1,3
180,181,15716334,850,Female,122311.21,1,1,1,45,California,19482.5,Rozier,0,2
181,182,15789669,510,Male,0.0,2,1,1,65,Texas,48071.61,Hsia,0,2
182,183,15621075,778,Female,162150.42,2,1,0,45,Alabama,174531.27,Ogbonnaya,0,1
183,184,15810845,636,Male,0.0,2,1,1,42,Texas,55470.78,T'ang,0,2
184,185,15719377,804,Female,0.0,1,1,1,50,Texas,8546.87,Cocci,1,4
185,186,15654506,514,Male,0.0,2,1,0,32,Texas,95857.18,Chang,0,8
186,187,15771977,730,Female,99010.67,1,1,0,39,Texas,194945.8,T'ao,0,1
187,188,15708710,525,Female,0.0,1,0,1,37,California,131521.72,Ford,0,0
188,189,15726676,616,Male,0.0,2,0,1,30,California,196108.51,Marshall,0,5
189,190,15587421,687,Female,111388.18,2,1,0,34,Alabama,148564.76,Tsai,0,7
190,191,15726931,715,Female,56214.85,2,0,0,41,Texas,92982.61,Onwumelu,1,8
191,192,15771086,512,Female,84327.77,2,1,0,36,Texas,17675.36,Graham,0,3
192,193,15756850,479,Male,0.0,2,0,0,40,Texas,114996.43,Golovanov,0,1
193,194,15702741,601,Male,93012.89,1,1,0,32,Texas,86957.42,Potts,0,8
194,195,15679200,580,Male,61710.44,2,1,0,29,California,128077.8,Crawford,0,9
195,196,15594815,807,Male,174790.15,1,1,1,35,Texas,600.36,Aleshire,0,3
196,197,15635905,616,Female,0.0,2,1,1,32,California,43001.46,Moran,0,6
197,198,15777892,721,Male,107720.64,1,1,1,37,Alabama,158591.12,Samsonova,0,3
198,199,15656176,501,Male,0.0,2,1,1,57,Texas,47847.19,Jenkins,0,10
199,200,15811127,521,Male,96423.84,1,1,0,35,Texas,10488.44,Volkov,0,6
200,201,15604482,850,Male,141040.01,1,1,1,30,California,5978.2,Chiemezie,0,2
201,202,15622911,759,Male,105420.18,1,0,1,42,Texas,121409.06,Jude,0,4
202,203,15600974,516,Male,0.0,1,0,1,50,California,146145.93,He,0,5
203,204,15727868,711,Female,129022.06,2,1,1,38,Texas,14374.86,Onuora,1,2
204,205,15627801,512,Male,176666.62,1,1,0,33,California,94670.77,Ginikanwa,0,3
205,206,15773039,550,Male,0.0,1,1,1,,Texas,179670.31,Ku,0,3
206,207,15755262,608,Female,89763.84,1,0,0,,California,199304.74,McDonald,1,3
207,208,15679531,618,Male,134954.53,1,1,1,34,Texas,151954.39,Collins,0,5
208,209,15684181,643,Male,0.0,1,1,0,45,Texas,142513.5,Hackett,1,5
209,210,15612087,671,Male,106376.85,1,0,1,45,Texas,158264.62,Dike,0,2
210,211,15752047,689,Male,161814.64,2,1,0,33,Alabama,169381.9,Trevisano,0,2
211,212,15624592,603,Male,0.0,2,1,1,31,Texas,169915.02,Tan,0,8
212,213,15573152,620,Female,0.0,2,0,0,41,Texas,88852.47,Glassman,0,9
213,214,15594917,676,Female,63095.01,1,1,1,34,Texas,40645.81,Miller,0,1
214,215,15785542,572,Male,118287.01,2,0,0,26,Alabama,60427.3,Kornilova,0,4
215,216,15723488,668,Male,106854.21,1,0,1,47,Alabama,157959.02,Watson,1,7
216,217,15680920,695,Male,49512.55,1,1,0,46,Texas,133007.34,Marchesi,0,7
217,218,15786308,730,Female,0.0,2,0,0,33,California,,Millar,0,9
218,219,15659366,807,Male,105799.32,2,1,0,,Texas,34888.04,Shih,1,1
219,220,15774854,592,Male,0.0,1,1,1,54,Texas,28737.71,Fuller,1,8
220,221,15725311,726,Female,114722.05,2,1,1,31,Texas,98178.57,Hay,0,9
221,222,15787155,514,Male,0.0,1,0,1,30,California,125010.24,Yang,0,7
222,223,15727829,567,Male,0.0,2,1,1,42,Texas,167984.61,McIntyre,0,2
223,224,15733247,850,Male,0.0,1,1,0,33,Texas,4861.72,Stevenson,1,10
224,225,15568748,671,Male,99564.22,1,1,1,45,Alabama,108872.45,Poole,1,6
225,226,15699029,670,Male,170557.91,2,1,0,37,Texas,198252.88,Bagley,0,4
226,227,15774393,694,Female,0.0,2,1,1,30,Texas,,Ch'ien,0,9
227,228,15676895,547,Female,74596.15,3,1,1,39,Alabama,85746.52,Cattaneo,1,6
228,229,15637753,751,Male,96888.39,1,1,0,50,Alabama,77206.25,O'Sullivan,1,2
229,230,15605461,594,Female,130830.22,1,1,0,29,Alabama,,Lucas,0,3
230,231,15808473,673,Male,0.0,2,0,1,72,Texas,111981.19,Ringrose,0,1
231,232,15627000,610,Male,0.0,2,1,0,40,Texas,62232.6,Freeman,0,0
232,233,15787174,512,Female,0.0,2,0,1,37,Texas,156105.03,Sergeyev,0,1
233,234,15723886,767,Male,119714.25,2,0,1,20,Alabama,150135.38,Fiore,0,3
234,235,15704769,585,Female,113978.97,2,0,1,67,Texas,93146.11,Smith,0,5
235,236,15772896,763,Male,100160.75,1,1,0,42,Alabama,33462.94,Dumetochukwu,1,6
236,237,15711540,712,Female,0.0,1,1,1,,Texas,144375.0,Pacheco,0,2
237,238,15764866,539,Female,116220.5,3,1,0,43,Alabama,55803.96,Synnot,1,3
238,239,15794056,668,Female,0.0,3,1,0,46,Texas,89048.46,Johnston,1,2
239,240,15795149,703,Male,81173.83,2,0,1,28,Texas,162812.16,Stevens,0,2
240,241,15812009,662,Male,0.0,2,1,0,38,California,136259.65,Grant,0,4
241,242,15651001,725,Female,116803.8,1,1,0,39,Alabama,124052.97,Tsao,0,5
242,243,15813844,703,Male,105961.68,2,0,1,37,Texas,74158.8,Barnes,0,8
243,244,15596175,659,Male,117411.6,1,1,1,67,Alabama,,McIntosh,1,6
244,245,15576269,523,Male,0.0,2,1,0,34,California,62030.06,Madison,0,7
245,246,15797219,635,Female,123497.58,1,1,0,40,Texas,131953.23,Ifesinachi,1,100
246,247,15685500,772,Male,152400.51,2,1,0,26,Alabama,79414.0,Glazkov,0,7
247,248,15599792,545,Female,0.0,2,1,1,26,Texas,199638.56,Dimauro,0,1
248,249,15657566,634,Male,103097.85,1,1,1,24,Alabama,157577.29,Wieck,0,8
249,250,15772423,739,Male,126418.14,1,1,0,54,Alabama,134420.75,Liao,1,8
250,251,15628112,771,Female,77846.9,1,0,0,36,Alabama,99805.99,Hughes,0,5
251,252,15753754,587,Female,0.0,2,1,1,34,California,97932.68,Morrison,0,1
252,253,15793726,681,Female,0.0,2,0,1,79,Texas,170968.99,Matveyeva,0,0
253,254,15694717,544,Male,79731.91,1,1,1,37,Alabama,57558.95,Ku,0,2
254,255,15665834,696,Male,0.0,1,0,0,28,California,176713.47,Cheatham,0,8
255,256,15765297,766,Male,0.0,2,0,1,41,California,34283.23,Yao,0,0
256,257,15636684,727,Male,0.0,2,1,1,34,Texas,198637.34,Kirkland,0,10
257,258,15592979,671,Female,37266.67,2,0,0,34,Alabama,156917.12,Rose,0,6
258,259,15750803,693,Female,127992.25,1,1,1,30,Texas,50457.2,Jess,0,6
259,260,15607178,850,Male,54901.01,1,1,1,38,Alabama,140075.55,Welch,0,3
260,261,15713853,732,Male,108748.08,2,1,1,42,Alabama,65323.11,Ifeajuna,0,9
261,262,15673481,726,Female,99906.19,1,1,0,48,California,64323.24,Morton,0,6
262,263,15686776,557,Female,184686.41,2,1,0,32,Texas,14956.44,Rossi,0,6
263,264,15673693,682,Female,110654.02,1,0,1,26,Texas,111879.21,Reppert,0,0
264,265,15700696,738,Male,79019.8,1,1,1,31,California,18606.23,Kang,0,9
265,266,15813163,531,Female,99240.51,1,1,0,,California,123137.01,Ch'iu,0,9
266,267,15653857,498,Male,0.0,2,1,1,34,Texas,148528.24,Wallis,0,2
267,268,15777076,651,Male,0.0,2,1,0,36,Texas,13898.31,Clark,0,7
268,269,15717398,549,Female,0.0,1,0,0,39,California,81259.25,Fielding,0,7
269,270,15799217,791,Female,52436.2,1,1,0,35,Alabama,161051.75,Zetticci,0,7
270,271,15787071,650,Male,0.0,2,0,1,41,California,191599.67,Dulhunty,0,9
271,272,15619955,733,Male,100337.96,3,1,0,34,Alabama,48559.19,Bevington,1,3
272,273,15796505,811,Female,149297.19,2,1,1,34,Alabama,,Boyle,0,1
273,274,15725166,707,Male,0.0,2,1,0,30,Texas,33159.37,Newton,0,8
274,275,15800116,712,Male,145605.44,1,0,1,28,Alabama,93883.53,Bowman,0,4
275,276,15758685,706,Female,0.0,2,1,1,37,California,110899.3,Dubinina,0,7
276,277,15694456,756,Male,0.0,1,1,1,62,Texas,11199.04,Toscani,1,3
277,278,15767339,777,Female,0.0,2,1,0,53,Texas,189992.97,Chiazagomekpere,0,100
278,279,15683562,646,Male,84026.86,1,0,1,35,Texas,164255.69,Allen,0,6
279,280,15782210,714,Male,0.0,1,1,0,46,Texas,152167.79,K'ung,1,1
280,281,15668893,782,Male,0.0,2,1,1,39,Texas,33949.67,Wilsmore,0,8
281,282,15669169,775,Male,0.0,2,1,1,29,California,68143.93,Hargreaves,0,10
282,283,15643024,479,Male,138718.92,1,1,1,35,Alabama,47251.79,Huang,1,4
283,284,15699389,807,Male,118274.71,1,1,1,,Texas,25885.72,Ch'ien,0,7
284,285,15708608,799,Female,174185.98,2,0,1,22,Texas,192633.85,Wallwork,0,8
285,286,15626144,675,Male,113208.86,2,1,0,40,Texas,34577.36,Chu,0,7
286,287,15573112,602,Male,103907.28,1,1,0,29,California,161229.84,Kang,0,5
287,288,15790678,475,Female,119023.28,1,1,0,32,Texas,100816.29,Davidson,0,8
288,289,15727556,744,Female,166297.89,1,1,1,26,California,181694.44,O'Donnell,0,5
289,290,15697307,588,Male,0.0,2,1,0,34,California,79078.91,Nnachetam,0,10
290,291,15652266,703,Male,63227.0,1,0,1,42,Alabama,137316.32,Chidiebele,0,9
291,292,15607098,747,Female,94521.17,2,1,0,41,California,194926.86,Ahmed,0,5
292,293,15655774,583,Male,0.0,2,1,0,27,Texas,51285.49,Booth,0,7
293,294,15590241,750,Female,112822.26,1,0,0,34,California,150401.53,Chuang,0,9
294,295,15785819,681,Male,0.0,2,1,1,38,Texas,112491.96,Shao,0,3
295,296,15723654,773,Male,135903.33,1,1,0,,Texas,73656.38,Tsao,0,2
296,297,15774510,714,Female,125169.26,1,1,1,31,Texas,106636.89,Tien,0,4
297,298,15684173,687,Female,0.0,3,1,0,44,California,155853.52,Chang,0,7
298,299,15650068,511,Male,149117.31,1,1,1,58,Texas,162599.51,Johnson,0,0
299,300,15811490,627,Male,0.0,2,1,1,33,Texas,103737.82,French,0,5
300,301,15803976,694,Female,0.0,2,1,0,31,Texas,160990.27,Efremov,0,100
301,302,15682541,616,Female,132311.71,1,0,0,36,California,15462.84,Hartley,0,6
302,303,15695699,687,Male,0.0,2,1,0,35,Texas,10334.05,Calabrese,0,8
303,304,15624188,712,Female,0.0,2,1,1,33,Texas,190686.16,Chiu,0,6
304,305,15812191,553,Male,118082.89,1,0,0,33,Texas,94440.45,Brennan,0,4
305,306,15636673,667,Male,119266.69,1,1,1,31,Texas,28257.63,Onwuatuegwu,0,1
306,307,15594898,731,Male,0.0,1,1,1,43,Texas,170034.95,Hewitt,1,2
307,308,15660211,629,Male,156847.29,2,1,0,35,Alabama,31824.29,Shih,0,7
308,309,15773972,614,Male,137104.47,1,1,0,50,Texas,127166.49,Balashov,1,4
309,310,15746726,438,Male,78398.69,1,1,0,31,Alabama,44937.01,Doyle,0,8
310,311,15712287,652,Female,0.0,2,1,1,80,Texas,,Pokrovskii,0,4
311,312,15702919,729,Male,63669.42,1,1,0,30,Alabama,145111.37,Collins,0,6
312,313,15674398,642,Male,0.0,2,0,0,38,Texas,171463.83,Russo,0,3
313,314,15797960,806,Female,135296.33,1,1,0,59,Alabama,182822.5,Skinner,0,0
314,315,15631868,744,Male,153804.44,1,1,1,36,California,87213.33,Robertson,0,2
315,316,15581539,474,Male,0.0,2,0,0,37,California,57175.32,Atkinson,0,3
316,317,15662736,559,Male,147069.78,1,1,0,,Texas,120540.83,Doyle,1,2
317,318,15666252,706,Male,0.0,2,1,1,42,California,28714.34,Ritchie,0,9
318,319,15677512,628,Female,0.0,1,1,0,22,California,85426.28,McEncroe,0,3
319,320,15626114,429,Male,95741.75,1,1,0,24,Texas,46170.75,Pearson,0,4
